Date,Revenue,OperatingProfit,Cash,Debt,Company,CIK,OperatingMarginPct,DebtToCashRatio,Lag_Revenue_1,Lag_OperatingProfit_1,Lag_OperatingMargin_1,Lag_DebtToCash_1,Revenue_QoQ_Growth,IsDistressed,Split,Pred_Revenue,Pred_OperatingProfit,Predicted_RiskProbPct,TopRiskDriver,IsAnomaly,AnomalyReason
2018-03-31,51042000000,1927000000,16676000000.0,24640000000.0,Amazon,1018724,3.775322283609576,1.4775725593667546,117413000000.0,1979000000.0,1.6855033088329232,1.9354586042139887,-0.5652781208213741,0,Train,5.5302255e+10,2.6860352e+09,0.13,Revenue_QoQ_Growth,0,Normal Profile
2018-06-30,103928000000,4911000000,19823000000.0,24638000000.0,Amazon,1018724,4.725386806250481,1.2428996620087778,51042000000.0,1927000000.0,3.775322283609576,1.4775725593667546,1.036127111006622,0,Train,9.458531e+10,6.4411325e+09,2.31,Lag_DebtToCash_1,0,Normal Profile
2018-09-30,160504000000,8635000000,20425000000.0,24684000000.0,Amazon,1018724,5.379928226087824,1.2085189718482252,103928000000.0,4911000000.0,4.725386806250481,1.2428996620087778,0.5443768762989762,0,Train,1.7134458e+11,9.828409e+09,0.14,Lag_OperatingProfit_1,0,Normal Profile
2019-03-31,59700000000,4420000000,23115000000.0,23322000000.0,Amazon,1018724,7.403685092127303,1.008955223880597,160504000000.0,8635000000.0,5.379928226087824,1.2085189718482252,-0.6280466530429148,0,Train,6.976365e+10,5.439527e+09,0.05,Revenue_QoQ_Growth,0,Normal Profile
2019-06-30,123104000000,7504000000,22616000000.0,23329000000.0,Amazon,1018724,6.095658955029894,1.0315263530244074,59700000000.0,4420000000.0,7.403685092127303,1.008955223880597,1.0620435510887771,0,Train,1.3483976e+11,8.2941184e+09,0.89,Lag_OperatingProfit_1,0,Normal Profile
2019-09-30,193086000000,10662000000,23255000000.0,22472000000.0,Amazon,1018724,5.521891799509027,0.966329821543754,123104000000.0,7504000000.0,6.095658955029894,1.0315263530244074,0.5684786846893684,0,Train,2.0449539e+11,1.2056106e+10,0.25,Lag_OperatingProfit_1,0,Normal Profile
2020-03-31,75452000000,3989000000,27201000000.0,23437000000.0,Amazon,1018724,5.286804856067433,0.861622734458292,193086000000.0,10662000000.0,5.521891799509027,0.966329821543754,-0.6092311198118973,0,Train,8.04036e+10,5.6205353e+09,0.05,Revenue_QoQ_Growth,0,Normal Profile
2020-06-30,164364000000,9832000000,37466000000.0,33128000000.0,Amazon,1018724,5.981845172908909,0.8842150216196017,75452000000.0,3989000000.0,5.286804856067433,0.861622734458292,1.1783915601972117,0,Train,1.5650967e+11,8.670423e+09,2.12,Lag_DebtToCash_1,0,Normal Profile
2020-09-30,260509000000,16026000000,29930000000.0,32929000000.0,Amazon,1018724,6.151802816793278,1.1002004677581023,164364000000.0,9832000000.0,5.981845172908909,0.8842150216196017,0.5849516925847509,0,Train,2.8521356e+11,1.5180659e+10,0.25,Lag_OperatingProfit_1,0,Normal Profile
2021-03-31,108518000000,8865000000,33834000000.0,31868000000.0,Amazon,1018724,8.169151661475516,0.9418927705858012,260509000000.0,16026000000.0,6.151802816793278,1.1002004677581023,-0.5834385760184869,0,Train,1.1014996e+11,9.0635e+09,0.05,Revenue_QoQ_Growth,0,Normal Profile
2021-06-30,221598000000,16567000000,40380000000.0,50279000000.0,Amazon,1018724,7.476150506773527,1.2451461119366023,108518000000.0,8865000000.0,8.169151661475516,0.9418927705858012,1.0420391087192908,0,Train,2.1478352e+11,1.5444711e+10,0.38,Lag_OperatingProfit_1,0,Normal Profile
2021-09-30,332410000000,21419000000,29944000000.0,50055000000.0,Amazon,1018724,6.4435486297042806,1.671620358001603,221598000000.0,16567000000.0,7.476150506773527,1.2451461119366023,0.5000586647893934,0,Train,3.358603e+11,2.0773566e+10,0.14,Lag_OperatingProfit_1,0,Normal Profile
2022-03-31,116444000000,3669000000,36393000000.0,47556000000.0,Amazon,1018724,3.1508708048504004,1.306734811639601,332410000000.0,21419000000.0,6.4435486297042806,1.671620358001603,-0.6496976625251948,0,Train,1.1586182e+11,5.687799e+09,0.05,Revenue_QoQ_Growth,0,Normal Profile
