Date,Revenue,OperatingProfit,Cash,Debt,Company,CIK,OperatingMarginPct,DebtToCashRatio,Lag_Revenue_1,Lag_OperatingProfit_1,Lag_OperatingMargin_1,Lag_DebtToCash_1,Revenue_QoQ_Growth,IsDistressed,Split
2018-03-31,51042000000,1927000000,16676000000.0,24640000000.0,Amazon,1018724,3.7753222836095763,1.4775725593667546,117413000000.0,1979000000.0,1.6855033088329232,1.9354586042139892,-0.5652781208213741,0,Train
2018-06-30,103928000000,4911000000,19823000000.0,24638000000.0,Amazon,1018724,4.725386806250481,1.2428996620087778,51042000000.0,1927000000.0,3.7753222836095763,1.4775725593667546,1.036127111006622,0,Train
2018-09-30,160504000000,8635000000,20425000000.0,24684000000.0,Amazon,1018724,5.379928226087824,1.2085189718482252,103928000000.0,4911000000.0,4.725386806250481,1.2428996620087778,0.5443768762989762,0,Train
2019-03-31,59700000000,4420000000,23115000000.0,23322000000.0,Amazon,1018724,7.403685092127303,1.008955223880597,160504000000.0,8635000000.0,5.379928226087824,1.2085189718482252,-0.6280466530429148,0,Train
2019-06-30,123104000000,7504000000,22616000000.0,23329000000.0,Amazon,1018724,6.095658955029894,1.0315263530244074,59700000000.0,4420000000.0,7.403685092127303,1.008955223880597,1.0620435510887771,0,Train
2019-09-30,193086000000,10662000000,23255000000.0,22472000000.0,Amazon,1018724,5.521891799509027,0.966329821543754,123104000000.0,7504000000.0,6.095658955029894,1.0315263530244074,0.5684786846893684,0,Train
2020-03-31,75452000000,3989000000,27201000000.0,23437000000.0,Amazon,1018724,5.286804856067433,0.861622734458292,193086000000.0,10662000000.0,5.521891799509027,0.966329821543754,-0.6092311198118973,0,Train
2020-06-30,164364000000,9832000000,37466000000.0,33128000000.0,Amazon,1018724,5.981845172908909,0.8842150216196017,75452000000.0,3989000000.0,5.286804856067433,0.861622734458292,1.1783915601972115,0,Train
2020-09-30,260509000000,16026000000,29930000000.0,32929000000.0,Amazon,1018724,6.151802816793278,1.1002004677581023,164364000000.0,9832000000.0,5.981845172908909,0.8842150216196017,0.5849516925847509,0,Train
2021-03-31,108518000000,8865000000,33834000000.0,31868000000.0,Amazon,1018724,8.169151661475516,0.9418927705858012,260509000000.0,16026000000.0,6.151802816793278,1.1002004677581023,-0.5834385760184869,0,Train
2021-06-30,221598000000,16567000000,40380000000.0,50279000000.0,Amazon,1018724,7.476150506773527,1.2451461119366023,108518000000.0,8865000000.0,8.169151661475516,0.9418927705858012,1.0420391087192908,0,Train
2021-09-30,332410000000,21419000000,29944000000.0,50055000000.0,Amazon,1018724,6.4435486297042806,1.671620358001603,221598000000.0,16567000000.0,7.476150506773527,1.2451461119366023,0.5000586647893934,0,Train
2022-03-31,116444000000,3669000000,36393000000.0,47556000000.0,Amazon,1018724,3.1508708048504004,1.306734811639601,332410000000.0,21419000000.0,6.4435486297042806,1.671620358001603,-0.6496976625251948,0,Train
2022-06-30,237678000000,6986000000,37478000000.0,58053000000.0,Amazon,1018724,2.939270778111563,1.5489887400608358,116444000000.0,3669000000.0,3.1508708048504004,1.306734811639601,1.041135653189516,0,Train
2022-09-30,364779000000,9511000000,34947000000.0,58919000000.0,Amazon,1018724,2.6073321106752307,1.6859530145649126,237678000000.0,6986000000.0,2.939270778111563,1.5489887400608358,0.5347613157296847,0,Train
2023-03-31,127358000000,4774000000,49343000000.0,67084000000.0,Amazon,1018724,3.7484885126964933,1.3595444135946335,364779000000.0,9511000000.0,2.6073321106752307,1.6859530145649126,-0.6508625770672105,0,Train
2023-06-30,261741000000,12455000000,49529000000.0,63092000000.0,Amazon,1018724,4.758520827841263,1.2738395687375073,127358000000.0,4774000000.0,3.7484885126964933,1.3595444135946335,1.0551594717253725,0,Train
2023-09-30,404824000000,23643000000,49605000000.0,61098000000.0,Amazon,1018724,5.840315791553861,1.2316903537949804,261741000000.0,12455000000.0,4.758520827841263,1.2738395687375073,0.5466587198795756,0,Train
2024-03-31,143313000000,15307000000,72852000000.0,57634000000.0,Amazon,1018724,10.680817511321374,0.7911107450722011,404824000000.0,23643000000.0,5.840315791553861,1.2316903537949804,-0.6459868980099994,0,Train
2024-06-30,291290000000,29979000000,71178000000.0,54889000000.0,Amazon,1018724,10.291805417281747,0.7711511984040013,143313000000.0,15307000000.0,10.680817511321374,0.7911107450722011,1.0325441516122054,0,Train
2024-09-30,450167000000,47390000000,75091000000.0,54890000000.0,Amazon,1018724,10.527204348608405,0.7309797445765804,291290000000.0,29979000000.0,10.291805417281747,0.7711511984040013,0.545425520958495,0,Train
2025-03-31,155667000000,18405000000,66207000000.0,53374000000.0,Amazon,1018724,11.823315153500742,0.8061685320283354,450167000000.0,47390000000.0,10.527204348608405,0.7309797445765804,-0.6542016629384206,0,Train
2025-06-30,323369000000,37576000000,57741000000.0,50718000000.0,Amazon,1018724,11.620161487341086,0.878370655167039,155667000000.0,18405000000.0,11.823315153500742,0.8061685320283354,1.0773124682816524,0,Test
2025-09-30,503538000000,54998000000,66922000000.0,50742000000.0,Amazon,1018724,10.922313708200772,0.7582259944412899,323369000000.0,37576000000.0,11.620161487341086,0.878370655167039,0.557162251174355,0,Test
2026-03-31,181519000000,23852000000,101816000000.0,119074000000.0,Amazon,1018724,13.140222235688825,1.1695018464681386,503538000000.0,54998000000.0,10.922313708200772,0.7582259944412899,-0.6395128073750144,0,Test
